initial_judgment_year,judgment_count,total_amount,mean_amount,median_amount,p75_amount,p90_amount,p95_amount,p99_amount,max_amount,fallback_year_count,review_required_count,mean_to_median_ratio,total_to_median_baseline_ratio,top10_share,top5_share,top1_share,largest_share,excluding_top1pct_total,excluding_largest_total,excluding_largest5_total,excluding_largest10_total
2008,6571,148705259.80,22630.53717851164,4432.43,9889.05,22416.50,48551.92,293399.54,22438826.00,0,150,5.105672775094392,5.105672775094393,0.7810064623551398,0.7106369544165915,0.5233704171908518,0.1508946356717908,70877325.94,126266433.80,116189320.07,107871814.83
2009,6143,337952718.70,55014.27945629171,4536.35,9906.46,26934.17,69970.19,471246.05,88650000.00,0,174,12.127432728138638,12.127432728138638,0.9064126514156668,0.867368638274547,0.7524879589021635,0.2623148005466837,83647367.20,249302718.70,194686920.09,161763462.39
2010,5378,199598640.98,37113.91613611008,5077.19,11345.85,26019.90,60109.24,432727.44,24016604.00,0,150,7.3099324894498885,7.309932489449888,0.848655693086473,0.7969855996461405,0.6239668592356766,0.12032448659009903,75055703.86,175582036.98,143832722.57,121726104.32
2011,4443,169672897.35,38188.81326806212,5136.00,10443.49,22883.98,49265.17,358578.08,25000000.00,0,154,7.435516602037017,7.4355166020370165,0.8592069761104956,0.8173103903208617,0.6899595554056824,0.14734232980315168,52605460.53,144672897.35,102110595.72,82096207.09
2012,4205,186709976.97,44401.89702021403,5368.23,11345.31,24577.56,51309.74,400368.87,20000000.00,0,124,8.27123596049611,8.27123596049611,0.8709248680702679,0.8335253270638332,0.7236510725493236,0.10711800367911534,51597101.88,166709976.97,111185486.21,81928248.88
2013,4535,150963606.09,33288.55702094818,5170.00,10591.17,23556.97,50382.02,372085.92,22000000.00,0,115,6.438792460531563,6.438792460531563,0.8352716069515824,0.7860461622734146,0.6380542330353126,0.14573048809448985,54640638.19,128963606.09,106644164.28,89075071.32
2014,3130,119869488.62,38296.96122044729,4689.75,10075.00,27032.65,62091.19,433770.83,27098192.97,0,96,8.16609866633558,8.16609866633558,0.864161008464641,0.8107988895164439,0.6478092442370177,0.2260641409416901,42216925.79,92771295.65,71374009.76,60283559.97
2015,2355,598292764.59,254052.12933757962,4829.11,10716.09,30659.15,75197.78,504292.41,505093892.18,0,71,52.608478443767,52.60847844376699,0.9778585241640385,0.9682385171697301,0.9411142746910149,0.8442253058603046,35230903.39,93198872.41,62350719.04,49691125.41
2016,2329,356564618.81,153097.7324216402,4259.60,10090.00,32028.42,88495.51,695941.24,213254195.73,0,64,35.94180965856892,35.94180965856892,0.9665478944607347,0.9492661586828965,0.8909258429796028,0.5980800799633886,38891985.22,143310423.08,83381793.97,58245760.46
2017,2438,171105921.89,70182.90479491386,4639.35,10420.65,31441.76,94880.01,694353.88,31921776.70,0,60,15.127745221833631,15.12774522183363,0.9225624309571347,0.8835985731528091,0.747610104238456,0.18656149563614616,43185405.79,139184145.19,74498463.21,58369779.10
2018,2565,138809173.07,54116.63667446394,4210.06,10148.09,28752.87,84855.87,702982.53,23500000.00,0,56,12.854124804507283,12.854124804507283,0.9045119451629048,0.8618332963461404,0.6717376100423736,0.16929716876959708,45565830.90,115309173.07,72764894.44,61719636.26
2019,3361,129915758.88,38653.900291579885,4612.19,10034.52,25847.38,62405.85,628464.34,13958579.44,0,69,8.380812648997523,8.380812648997523,0.8674976251657023,0.8175450402295337,0.6289295869446565,0.10744331219196586,48207894.31,115957179.44,86818880.39,74724616.21
2020,1882,304060413.07,161562.38739107334,5520.34,11746.48,33816.35,95488.17,733562.38,179047998.64,0,22,29.266745778534172,29.26674577853417,0.960988907006223,0.9440872662167761,0.8873659785099497,0.5888566578996919,34247547.10,125012414.43,58542207.40,43792083.17
2021,2114,96821953.58,45800.35647114475,6189.66,11880.09,25378.79,64518.13,580822.09,27543121.55,0,41,7.399494717180709,7.399494717180709,0.8604639199018318,0.8173491162271589,0.6662870365107542,0.28447186336972896,32310741.06,69278832.03,53334970.17,43234944.14
2022,2150,145949129.92,67883.31624186046,5966.86,12036.34,27746.66,79584.70,1604298.78,8927931.44,0,20,11.376723476310902,11.3767234763109,0.9061836115946337,0.8720423694184638,0.6399367920260638,0.06117152904504276,52550911.92,137021198.48,107435120.79,81658167.46
2023,2077,100320575.65,48300.710471834376,6720.02,14353.11,43833.94,105113.87,886279.83,12721056.99,0,29,7.187584333355313,7.187584333355315,0.842085507411061,0.7713903166782716,0.556686912611431,0.12680406693818647,44473424.12,87599518.66,70415941.86,59210467.76
2024,2494,116775628.76,46822.62580593424,6448.57,13559.44,33158.27,86665.81,828028.19,10000000.00,0,30,7.260931618317588,7.260931618317588,0.8484094535137829,0.7924958299321084,0.5737869819370348,0.08563430662875927,49771293.17,106775628.76,81279983.84,69507303.96
2025,2421,122159316.43,50458.20587773647,7015.24,14261.48,37443.17,94034.35,670042.39,10368075.42,0,31,7.192655686439306,7.1926556864393065,0.8499462102793954,0.7925537967092241,0.605542455555471,0.0848733909373268,48186663.99,111791241.01,86365495.92,70319378.19
2026,908,48052568.06,52921.330462555066,6371.93,12877.96,30143.25,71681.15,491997.34,17402883.21,0,15,8.305384783347442,8.305384783347442,0.8724070398829792,0.8263535120624311,0.6863667947739649,0.36216343709810045,15070880.94,30649684.85,18376418.38,15070880.94
