entry_year,extraction_period,rule_version,source_field,entry_date_source_field,case_model,event_kind,status,rule_id,event_rows,case_count,money_mention_rows,total_amount_rows,unassigned_money_rows,unclassified_money_rows,dollar_token_missed_rows
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_custody_or_bail_status,13,13,5,0,5,5,1
2006,historical_pre_2000,2.9.1,description,date_filed,unlawful_detainer,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,7,6,5,0,5,0,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,1011,1011,4,0,4,4,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,vacatur_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,308,189,4,0,4,1,0
2006,historical_pre_2000,2.9.1,description,date_filed,family_multi_order,vacatur_reference,reference,sfsc.strict_judgment_end_state.motion_or_brief,90,63,4,0,4,4,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,filedDate,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_embedded_warrant_status,56,55,4,0,4,4,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,judgment_reference,reference,sfsc.strict_judgment_end_state.abstract_of_judgment,28,27,4,0,4,3,0
2006,historical_pre_2000,2.9.1,description,date_filed,probate,probate_property_order,operative,sfsc.strict_judgment_end_state.probate_property_granted_observed,14,14,4,0,4,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_calendar_or_hearing,2610,1172,3,0,3,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,probate,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_distribution_receipt,1296,619,3,0,3,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,appeal_reference,reference,sfsc.strict_judgment_end_state.administrative_record_remand,461,456,3,0,3,2,0
2006,legacy_2000_2013,2.9.1,description,date_filed,civil_general,take_nothing,operative,sfsc.strict_judgment_end_state.take_nothing_judgment,217,198,20,17,3,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,writ_or_mandate,satisfaction,operative,sfsc.strict_judgment_end_state.satisfaction_filed,177,172,3,0,3,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,criminal_plea,operative,sfsc.strict_judgment_end_state.criminal_concatenated_guilty_or_no_contest_plea,163,161,3,0,3,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,small_claims,satisfaction_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,137,110,3,0,3,2,0
2006,legacy_2000_2013,2.9.1,docketEntryComment,filedDate,criminal,unknown_end_state,reference,sfsc.strict_judgment_end_state.criminal_plea_advisement_or_not_guilty_procedure,135,135,3,0,3,3,0
2006,historical_pre_2000,2.9.1,description,date_filed,civil_general,probate_order_reference,reference,sfsc.strict_judgment_end_state.probate_procedural_filing,130,27,3,0,3,1,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,judgment_reference,reference,sfsc.strict_judgment_end_state.unresolved_end_state_mention,74,56,3,0,3,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,criminal_diversion_terminated,operative,sfsc.strict_judgment_end_state.criminal_diversion_terminated,73,72,3,0,3,3,0
2006,legacy_2000_2013,2.9.1,description,date_filed,criminal,criminal_sentence_modification,operative,sfsc.strict_judgment_end_state.criminal_sentence_deemed_served,73,71,3,0,3,3,0
