entry_year,extraction_period,rule_version,source_field,case_model,event_kind,status,rule_id,review_reason_set,no_amount_rows,recorded_only_rows,money_mention_rows,component_amount_rows
2011,legacy_2000_2013,2.9.1,description,writ_or_mandate,take_nothing,operative,sfsc.strict_judgment_end_state.take_nothing_judgment,,6,0,1,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,,794,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.legacy_name_change_result,,696,0,0,0
2011,legacy_2000_2013,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,493,0,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,392,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_mo138572_companion_case_dismissal,,379,0,0,0
2011,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.calendar_removed_dismissal_filed,,376,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.name_change_decree_entered,,160,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_bw_recalled_case_dismissed,,131,0,0,0
2011,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.direct_dismissal_result,,127,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,65,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_court_orders_cause_dismissed,,53,0,0,0
2011,legacy_2000_2013,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,50,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,46,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_observed_dismissal_result,,44,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_express_motion_to_dismiss_granted,,43,0,0,0
2011,legacy_2000_2013,2.9.1,description,writ_or_mandate,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,34,0,0,0
2011,legacy_2000_2013,2.9.1,description,family_multi_order,judgment,operative,sfsc.strict_judgment_end_state.judgment_entered,,29,0,0,0
2011,legacy_2000_2013,2.9.1,description,writ_or_mandate,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,29,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_motion_to_dismiss_granted,,20,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_dismissal_after_diversion,,15,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_dismissal_after_guilty_plea_set_aside,,15,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,,13,0,0,0
2011,historical_pre_2000,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,13,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_express_motion_to_dismiss_granted,,12,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_dismissal_after_diversion,,11,0,0,0
2011,historical_pre_2000,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,,10,0,0,0
2011,unknown_period,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_pc1385_portal_dismissal,,9,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.calendar_removed_dismissal_filed,,9,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_ctord_case_dismissed,,7,0,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,judgment,operative,sfsc.strict_judgment_end_state.recorded_calendar_judgment_filed,,7,0,0,0
2011,legacy_2000_2013,2.9.1,description,probate,dismissal,operative,sfsc.strict_judgment_end_state.probate_creditor_claim_dismissed,,5,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_dismissal_after_guilty_plea_set_aside,,5,0,0,0
2011,unknown_period,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_bw_recalled_case_dismissed,,5,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,judgment_of_dismissal,operative,sfsc.strict_judgment_end_state.court_entered_judgment_of_dismissal,,4,0,0,0
2011,legacy_2000_2013,2.9.1,description,unlawful_detainer,dismissal,operative,sfsc.strict_judgment_end_state.recorded_calendar_dismissal,,4,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_court_orders_cause_dismissed,,4,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,4,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_motion_to_dismiss_granted,,4,0,0,0
2011,historical_pre_2000,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,4,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_mo138572_companion_case_dismissal,,4,0,0,0
2011,unknown_period,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_mo138572_companion_case_dismissal,,3,0,0,0
2011,historical_pre_2000,2.9.1,description,civil_general,name_change_decree,operative,sfsc.strict_judgment_end_state.name_change_decree_entered,,3,0,0,0
2011,legacy_2000_2013,2.9.1,docketEntryComment,criminal,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,3,0,0,0
2011,unknown_period,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.court_dismissal_order_caption,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,family_multi_order,dismissal,operative,sfsc.strict_judgment_end_state.recorded_case_or_matter_dismissal,,2,0,0,0
2011,historical_pre_2000,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.direct_case_dismissed,,2,0,0,0
2011,historical_pre_2000,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.criminal_mo138572_companion_case_dismissal,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,small_claims,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,probate,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,family_domestic_violence,dismissal,operative,sfsc.strict_judgment_end_state.observed_whole_case_dismissal,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,writ_or_mandate,judgment_of_dismissal,operative,sfsc.strict_judgment_end_state.court_entered_judgment_of_dismissal,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.observed_order_dismissing_action,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.reviewed_grammar_direct_order_of_dismissal,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,criminal,dismissal,operative,sfsc.strict_judgment_end_state.dismissal_entered,,2,0,0,0
2011,legacy_2000_2013,2.9.1,description,civil_general,dismissal,operative,sfsc.strict_judgment_end_state.recorded_calendar_dismissal,,2,0,0,0
