original_event_year,case_model,recorded_event_kind,selected_original_events,original_total_count,recorded_amount_but_original_missing_count,no_original_or_recorded_amount_count,recorded_only_median,recorded_only_median_event_year
1994,writ_or_mandate,judgment_of_dismissal,1,0,0,1,,
1995,civil_general,monetary_judgment,3189,2632,557,0,4649.47,1995.0
1995,unlawful_detainer,possession,1775,1021,256,498,2416.86,1995.0
1995,small_claims,monetary_judgment,3817,3747,70,0,779.45,1995.0
1995,civil_general,renewal,188,136,52,0,8786.49,2005.0
1995,small_claims,amended_judgment,417,393,20,4,1879.12,1996.0
1995,unlawful_detainer,amended_judgment,44,22,14,8,2817.56,1995.0
1995,civil_general,take_nothing,94,33,7,54,2871.66,1995.0
1995,unlawful_detainer,monetary_judgment,16,8,7,1,2707.20,1995.0
1995,civil_general,amended_judgment,12,8,4,0,1098.41,1995.5
1995,unlawful_detainer,renewal,5,2,3,0,9831.77,2005.0
1995,small_claims,dismissal,1156,1,2,1153,403.32,1995.5
1995,unlawful_detainer,take_nothing,33,11,2,20,3095.12,1995.0
1995,civil_general,dismissal,8381,1,1,8379,2999.00,1995.0
1995,unlawful_detainer,judgment_of_dismissal,1,0,1,0,3.09,1996.0
1995,appellate_review,dismissal,9,0,0,9,,
1995,civil_general,default_judgment,19,0,0,19,,
1995,civil_general,judgment,304,3,0,301,,
1995,civil_general,judgment_of_dismissal,31,0,0,31,,
1995,civil_general,name_change_decree,285,0,0,285,,
1995,civil_general,possession,3,0,0,3,,
1995,criminal,dismissal,1276,0,0,1276,,
1995,family_domestic_violence,dismissal,16,0,0,16,,
1995,family_multi_order,amended_judgment,1,0,0,1,,
1995,family_multi_order,dismissal,1437,0,0,1437,,
1995,family_multi_order,judgment,44,1,0,43,,
1995,probate,dismissal,22,0,0,22,,
1995,probate,judgment,2,0,0,2,,
1995,small_claims,judgment,2165,0,0,2165,,
1995,small_claims,judgment_of_dismissal,1,0,0,1,,
1995,unknown,dismissal,2,0,0,2,,
