event_year,case_model,event_kind,extraction_period,source_field,operative_event_count,parsed_total_count,recognized_money_event_count,recognized_money_without_total_count,explicit_currency_not_recognized_count,unmarked_numeric_context_count
2000,family_multi_order,judgment,legacy_2000_2013,description,44,0,3,3,0,0
2000,small_claims,amended_judgment,legacy_2000_2013,description,43,39,40,1,0,0
2000,writ_or_mandate,judgment,legacy_2000_2013,description,37,0,0,0,0,0
2000,writ_or_mandate,judgment,historical_pre_2000,description,35,0,2,2,0,0
2000,unlawful_detainer,take_nothing,legacy_2000_2013,description,28,12,13,1,0,0
2000,civil_general,default_judgment,historical_pre_2000,description,25,0,1,1,0,0
2000,unlawful_detainer,take_nothing,historical_pre_2000,description,17,10,11,1,0,0
2000,unlawful_detainer,amended_judgment,legacy_2000_2013,description,13,8,8,0,0,0
2000,civil_general,amended_judgment,historical_pre_2000,description,12,6,6,0,0,0
2000,unlawful_detainer,monetary_judgment,legacy_2000_2013,description,10,8,8,0,0,0
2000,unlawful_detainer,default_judgment,legacy_2000_2013,description,9,0,4,4,0,0
2000,unlawful_detainer,amended_judgment,historical_pre_2000,description,8,5,5,0,0,0
2000,civil_general,default_judgment,legacy_2000_2013,description,4,0,0,0,0,0
2000,civil_general,take_nothing,legacy_2000_2013,description,4,1,2,1,0,0
2000,unlawful_detainer,monetary_judgment,historical_pre_2000,description,4,4,4,0,0,0
2000,civil_general,amended_judgment,legacy_2000_2013,description,3,3,3,0,0,0
2000,family_domestic_violence,possession,historical_pre_2000,description,3,0,0,0,0,0
2000,family_multi_order,default_judgment,historical_pre_2000,description,3,0,0,0,0,0
2000,probate,judgment,historical_pre_2000,description,3,0,0,0,0,0
2000,civil_general,possession,legacy_2000_2013,description,2,1,1,0,0,0
2000,family_multi_order,amended_judgment,historical_pre_2000,description,2,0,0,0,0,0
2000,writ_or_mandate,default_judgment,historical_pre_2000,description,2,0,0,0,0,0
2000,family_domestic_violence,judgment,historical_pre_2000,description,1,0,0,0,0,0
2000,probate,judgment,legacy_2000_2013,description,1,0,0,0,0,0
2001,civil_general,monetary_judgment,legacy_2000_2013,description,2867,2864,2865,1,0,0
2001,small_claims,monetary_judgment,legacy_2000_2013,description,2653,2653,2653,0,0,0
2001,small_claims,judgment,legacy_2000_2013,description,1690,2,16,14,0,0
2001,unlawful_detainer,judgment,legacy_2000_2013,description,1219,0,17,17,0,0
2001,unlawful_detainer,possession,legacy_2000_2013,description,754,513,529,16,0,0
2001,family_multi_order,judgment,legacy_2000_2013,description,579,0,1,1,0,0
2001,writ_or_mandate,monetary_judgment,legacy_2000_2013,description,307,307,307,0,0,0
2001,civil_general,judgment,legacy_2000_2013,description,305,1,14,13,0,0
2001,small_claims,amended_judgment,legacy_2000_2013,description,224,174,188,14,0,0
2001,civil_general,monetary_judgment,historical_pre_2000,description,177,177,177,0,0,0
2001,family_multi_order,judgment,historical_pre_2000,description,148,1,1,0,0,0
2001,civil_general,judgment,historical_pre_2000,description,113,0,6,6,0,0
2001,small_claims,amended_judgment,historical_pre_2000,description,43,32,34,2,0,0
2001,unlawful_detainer,amended_judgment,legacy_2000_2013,description,38,23,24,1,0,0
2001,writ_or_mandate,judgment,legacy_2000_2013,description,33,0,1,1,0,0
2001,civil_general,take_nothing,legacy_2000_2013,description,30,4,5,1,0,0
2001,unlawful_detainer,take_nothing,legacy_2000_2013,description,27,13,15,2,0,0
2001,civil_general,default_judgment,legacy_2000_2013,description,26,0,1,1,0,0
2001,small_claims,judgment,historical_pre_2000,description,19,0,0,0,0,0
2001,civil_general,take_nothing,historical_pre_2000,description,18,6,6,0,0,0
2001,unlawful_detainer,possession,historical_pre_2000,description,15,8,9,1,0,0
2001,small_claims,monetary_judgment,historical_pre_2000,description,14,14,14,0,0,0
