event_year,case_model,extraction_period,source_field,amount_format_cohort,event_count
2000,probate,legacy_2000_2013,description,no_amount_signal,8
2000,criminal,historical_pre_2000,docketEntryComment,no_amount_signal,6
2000,family_domestic_violence,historical_pre_2000,description,no_amount_signal,6
2000,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,6
2000,small_claims,historical_pre_2000,description,recognized_money_but_no_total,5
2000,appellate_review,historical_pre_2000,description,no_amount_signal,4
2000,family_multi_order,legacy_2000_2013,description,recognized_money_but_no_total,3
2000,appellate_review,legacy_2000_2013,description,no_amount_signal,2
2000,criminal,legacy_2000_2013,description,recognized_money_but_no_total,2
2000,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,2
2000,writ_or_mandate,historical_pre_2000,description,recognized_money_but_no_total,2
2000,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,1
2000,criminal,unknown_period,description,recognized_money_but_no_total,1
2000,probate,legacy_2000_2013,description,recognized_money_but_no_total,1
2001,civil_general,legacy_2000_2013,description,no_amount_signal,8969
2001,unlawful_detainer,legacy_2000_2013,description,no_amount_signal,2579
2001,small_claims,legacy_2000_2013,description,no_amount_signal,2280
2001,civil_general,historical_pre_2000,description,no_amount_signal,1893
2001,criminal,legacy_2000_2013,description,no_amount_signal,1685
2001,family_multi_order,legacy_2000_2013,description,no_amount_signal,588
2001,criminal,historical_pre_2000,description,no_amount_signal,289
2001,family_multi_order,historical_pre_2000,description,no_amount_signal,157
2001,writ_or_mandate,legacy_2000_2013,description,no_amount_signal,72
2001,unlawful_detainer,historical_pre_2000,description,no_amount_signal,65
2001,unlawful_detainer,legacy_2000_2013,description,recognized_money_but_no_total,37
2001,criminal,unknown_period,description,no_amount_signal,30
2001,writ_or_mandate,historical_pre_2000,description,no_amount_signal,19
2001,probate,legacy_2000_2013,description,no_amount_signal,15
2001,small_claims,historical_pre_2000,description,no_amount_signal,15
2001,civil_general,legacy_2000_2013,description,recognized_money_but_no_total,14
2001,small_claims,legacy_2000_2013,description,recognized_money_but_no_total,13
2001,family_domestic_violence,legacy_2000_2013,description,no_amount_signal,9
2001,probate,historical_pre_2000,description,no_amount_signal,8
2001,criminal,legacy_2000_2013,docketEntryComment,no_amount_signal,7
2001,appellate_review,legacy_2000_2013,description,no_amount_signal,6
2001,civil_general,historical_pre_2000,description,recognized_money_but_no_total,4
2001,family_domestic_violence,historical_pre_2000,description,no_amount_signal,3
2001,unknown,legacy_2000_2013,description,no_amount_signal,3
